"Josh Warren",Cornell,Ivy,29,64.2,101.1,22.4,57,59.81,3.4,15.7,22.6,23.3,55,76,0.724,90,158,0.57,19,50,0.38,2.4,0.9,36.5,Jr,6-8,22,1.46067,103.862,3.6,2019,27085,"Downingtown, PA",,1.14281918,77,121,13,37,0.6364,0.3514,3,4,0.7500,,104.504,104.945,2.18275,133.783,-0.27619,-0.789809,0.513619,-0.177955,25.3871,-0.324727,0.146772,0.7742,3.5806,4.3548,2.5806,0.4516,0.5806,9.7419,"Wing F",3.83521
"Luke Worthington",BYU,WCC,32,26.3,106.4,15.4,49.3,52.33,9.9,14.3,5.1,13.7,24,40,0.6,33,67,0.493,0,0,0,0.6,1.8,59.7,Sr,6-10,41,0.500905,101.204,8.8,2019,30969,"Mequon, WI",49.0,0.76932547,26,36,7,31,0.7222,0.2258,0,0,,,105.112,103.063,0.96188,63.6724,-1.37913,-0.742721,-0.636408,-3.45606,10.6250,-3.28783,-0.168232,0.9062,1.3750,2.2812,0.3125,0.3438,0.0625,2.8125,C,0
"Dontel Highsmith","Cleveland St.",Horz,29,39.2,113.6,11.8,50.6,56.01,2.2,7.8,9.8,12.4,26,32,0.813,21,41,0.512,14,42,0.333,0.7,1.3,38.6,Sr,6-2,11,0.600895,98.4936,3.1,2019,31053,"Dowagiac, MI",,2.30734380,18,34,3,7,0.5294,0.4286,0,0,,,114.425,113.061,0.892847,69.5653,-2.81956,-0.537526,-2.28203,-2.37808,15.9355,-1.5507,-0.827376,0.3226,1.1613,1.4839,0.9677,0.3871,0.0968,3.9677,"Combo G",5.15435
"Dylan Jones",Rice,CUSA,3,0.8,204.6,11,100,101.69,0,10.9,0,0,2,2,1,2,2,1,0,0,0,0,5.6,100,Sr,6-8,4,1.05479,178.65,0,2019,31249,"Houston, TX",30.0,,2,2,0,0,1.0000,,1,1,1.0000,,100.744,103.695,0.297998,2.36628,4.44371,4.85177,-0.408062,15.8785,2.7500,10.3679,5.51068,0.0000,0.2500,0.2500,0.0000,0.2500,0.0000,1.5000,"Wing F",0
"Emmanuel Toney","Texas A&M Corpus Chris",Slnd,28,72.9,91.2,19,44.8,48.04,2.3,11.3,25.3,26.2,38,56,0.679,49,116,0.422,25,77,0.325,0.3,2.2,29,Sr,6-2,22,0.0125286,87.5821,2.5,2019,31389,"Bowie, MD",,1.57142857,43,81,6,35,0.5309,0.1714,0,0,,,101.888,104.563,2.51978,143.21,-2.58673,-2.22467,-0.362059,-2.48324,28.9062,-2.52056,0.0373138,0.5625,2.8750,3.4375,3.4375,1.1875,0.0625,7.8125,"Scoring PG",5.63568
"Damarion Geter",Longwood,BSth,28,55.9,97.1,13.3,50,51,5.3,17.2,9.8,21.4,25,47,0.532,41,84,0.488,10,28,0.357,3.7,1.8,42,Sr,6-8,24,-0.2847,84.1424,3.5,2019,31509,"Dayton, OH",,1.00000000,36,60,5,26,0.6000,0.1923,8,11,0.7273,,102.831,104.754,2.12108,139.87,-0.475086,-2.71896,2.24387,-1.77045,25.3333,-2.60684,0.83639,1.4667,3.7667,5.2333,1.3000,0.8667,0.7333,5.2667,"Wing F",2.35047
"Parker Van Dyke",Utah,P12,31,60.3,120.4,15.3,60.3,60.98,0.6,6.2,13.1,13.8,11,14,0.786,18,33,0.545,72,176,0.409,0.6,2.3,6.7,Sr,6-3,5,2.38151,115.902,3,2019,32009,"Salt Lake City, UT",,1.92583239,15,21,3,12,0.7143,0.2500,1,1,1.0000,,111.378,109.557,1.66629,118.421,3.82389,4.78919,-0.9653,3.0595,24.2258,2.91199,0.147509,0.1290,1.2903,1.4194,1.6774,0.9355,0.1290,8.4839,"Combo G",13.7438
"Andre Adams","Southern Utah",BSky,32,56.5,97.6,23.5,58.3,59.35,7.3,23.8,10.7,24.9,52,84,0.619,130,215,0.605,2,13,0.154,3.2,1.2,36.8,So,6-9,32,0.758941,97.1294,6.2,2019,32932,"Avondale, AZ",62.8,0.44442577,91,128,35,82,0.7109,0.4268,10,11,0.9091,,100.392,102,2.15478,161.275,-1.99972,-3.4444,1.44468,-2.42296,22.4412,-2.91523,0.492272,1.4706,4.8529,6.3235,1.0588,0.5882,0.6765,9.7647,PF/C,0.973696
"Mitch Hahn","Nebraska Omaha",Sum,31,79.8,111.7,20.8,54.5,56.6,3.5,21,9.2,11.9,48,62,0.774,106,199,0.533,55,147,0.374,0.6,0.9,17.9,Sr,6-8,44,2.49564,110.001,2.7,2019,33470,"Fremont, NE",,1.20450913,38,68,68,131,0.5588,0.5191,4,5,0.8000,,110.469,110.543,2.09404,174.747,-0.391085,1.37457,-1.76565,0.297544,31.9062,1.89593,-1.59838,0.9375,5.4062,6.3438,1.6562,0.5312,0.1562,13.6250,"Stretch 4",8.47762
"Ryan Andino","Maryland Eastern Shore",MEAC,30,69.2,91.7,20,43.4,45.48,0.6,6.6,4.3,5.9,26,30,0.867,17,48,0.354,78,261,0.299,0,1,9.7,Sr,6-2,1,0.116498,88.671,1.1,2019,33478,"Ft. Lauderdale, FL",,0.88888889,8,13,9,35,0.6154,0.2571,0,0,,,115.941,121.492,0.76532,106.925,-6.54631,-0.744368,-5.80194,-4.41439,28.1562,-0.450385,-3.96401,0.1250,1.5938,1.7188,0.5000,0.5000,0.0000,10.2812,"Wing G",19.1759
"Chancellor Barnard",Binghamton,AE,31,76.2,109.1,13.4,64.4,61.39,8.5,15.3,4.8,20.4,31,68,0.456,90,141,0.638,1,1,1,5.2,1.1,47.9,Sr,6-4,2,1.10649,97.9187,3.9,2019,33513,"Columbia, MD",,0.53336754,90,133,0,8,0.6767,0.0000,14,14,1.0000,,107.591,111.303,1.92049,170.371,-0.432127,-1.30915,0.877024,-2.74511,30.3636,-2.14035,-0.604765,2.2727,4.1515,6.4242,0.7273,0.5758,1.4545,7.3333,"Wing G",0.0634796
