rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Gonzaga,WCC,28-4,120.30718242774688,4,89.88583114189943,9,0.9661814452195066,1,28,4,13,1,13-1,0.5998693768334987,0.4933371648410428,0.6153381257498077,0.5998693768334987,0.4933371648410428,0.6153381257498077,0.7388280812294256,0.7728110576030163,104.80018927052282,99.28021211286988,104.80018927052282,99.28021211286988,120.36340645101579,88.21897214033791,139.28614520063513,103.01768040238979,0.9697851949169946,13,-0.0005267897264059629,1271.0,942.0,1063.55,1.195054299280711,0.8857129425038786,0,0.9285714285714286,6.711699517910124,10,176,72.64585549874917
2,Houston,Amer,32-6,116.53740798971386,10,88.500081266412,6,0.9594918943029923,2,32,6,15,3,15-3,0.6690483484564728,0.5603025704965003,0.6774198290851873,0.6690483484564728,0.5603025704965003,0.6774198290851873,0.7441977853940915,0.8209228202930944,105.82762135426822,98.25830218230874,105.82762135426822,98.25830218230874,116.4115616929202,91.28475488914152,113.56762330532214,93.47748663814289,0.9036796335602683,11,-0.027494445132536516,1320.0,1099.0,1188.0375,1.1110760392664374,0.9250549751165262,0,0.8333333333333334,6.1537802038456215,13,234,63.717100192420844
3,Kansas,B12,34-6,119.79352368586865,5,91.26787321741169,13,0.9580195430289029,3,34,6,14,4,14-4,0.7797555751775551,0.6267076021552958,0.867841478522573,0.7797555751775551,0.6267076021552958,0.867841478522573,0.632338021385259,0.7954189073380931,108.03864435743932,94.70024827615755,108.03864435743932,94.70024827615755,119.90757167831384,93.46747197164983,124.9429606507837,96.51055177182302,0.951170429213649,24,0.06034131578134572,1352.0,1244.0,1254.3000000000002,1.0778920513433785,0.9917882484254165,0,0.7777777777777778,10.409676209995189,1,56,69.11487572768272
4,Texas Tech,B12,27-10,110.51255275676036,41,85.40750931306152,1,0.9508973676259017,4,27,10,12,6,12-6,0.6951969416235328,0.3922987192017348,0.8686589617848717,0.6951969416235328,0.3922987192017348,0.8686589617848717,0.6397685129428805,0.8217853738138786,107.01661596497404,96.98902377575743,107.01661596497404,96.98902377575743,110.14921289314083,86.7271473271059,114.65543877935696,89.95344072761512,0.9421521887805742,22,-0.02922395529405375,1231.0,1133.0,1221.2625,1.0079733063121155,0.9277284777023777,0,0.6666666666666666,6.572097785847275,11,240,66.3174718618326
5,Baylor,B12,27-7,117.77707456899397,8,91.32665714224345,14,0.9490702501476475,5,27,7,14,4,14-4,0.7186907487591485,0.5065686650952609,0.8688684524662267,0.7186907487591485,0.5065686650952609,0.8688684524662267,0.6481643446165449,0.8032623185047586,106.81108261139855,96.51192922563365,106.81108261139855,96.51192922563365,118.30846168089086,92.00730711120899,125.23004224041043,97.59161216220686,0.9462238751962063,20,0.027323374658678734,1298.0,1195.0,1220.6375,1.063378767242527,0.9789966308588749,0,0.7777777777777778,8.907485911792334,2,106,67.55629744034744
6,Duke,ACC,32-7,122.7162258067206,1,95.98744840744028,53,0.9440149426468262,6,32,7,16,4,16-4,0.6895192803436122,0.45968526024080403,0.7599294681477705,0.6895192803436122,0.45968526024080403,0.7599294681477705,0.6977125887735645,0.8010431136433387,107.84823756586385,98.57462836920779,107.84823756586385,98.57462836920779,121.40385712371008,93.68677647284474,127.17581321156557,96.10385971015694,0.9616398769462873,18,0.02753689852013852,1544.0,1338.0,1336.7749999999999,1.1550186082175387,1.000916384582297,0,0.8,7.185397670353764,7,105,67.42089767871738
7,Tennessee,SEC,27-8,111.29052422605227,34,87.06074291031754,3,0.9439425131577603,7,27,8,14,4,14-4,0.7265693546604761,0.5970599087499159,0.7916941127682071,0.7265693546604761,0.5970599087499159,0.7916941127682071,0.6628506152040251,0.7046960988833081,107.98522749099114,96.91688840890342,107.98522749099114,96.91688840890342,110.62646985690137,89.66730520364564,117.38308767945546,93.74571131393574,0.9299456388097407,19,0.0054069480189536945,1296.0,1196.0,1258.3125,1.029950827000447,0.9504793125714002,0,0.7777777777777778,7.955370892837923,4,167,67.35647591776033
8,Villanova,BE,30-8,117.1710371694399,9,92.9801180401038,26,0.9345857912731168,8,30,8,16,4,16-4,0.7443128706139639,0.6494353528172808,0.7520981535730856,0.7443128706139639,0.6494353528172808,0.7520981535730856,0.6597520097886977,0.6550526787777906,108.83021209274023,97.0442299558591,108.83021209274023,97.0442299558591,119.2856734191826,95.37755309615781,123.8248525919835,100.7893719984138,0.914284216846986,19,0.051692733354362974,1474.0,1294.0,1296.7625,1.1366769165517971,0.9978696947205058,0,0.8,7.288490056904541,6,70,62.19730413061667
9,Arizona,P12,33-4,118.03807841829476,7,93.73154262567076,35,0.9341085398897186,9,33,4,18,2,18-2,0.6480731528198945,0.5133904863224376,0.6869621292638655,0.6480731528198945,0.5133904863224376,0.6869621292638655,0.7374133479967749,0.7816106882607575,105.68334009836133,98.77261759084135,105.68334009836133,98.77261759084135,117.63042107696376,92.96294805118539,119.88351638459783,92.59135892463969,0.9512343675687259,10,0.09289538011192344,1641.0,1365.0,1442.1750000000002,1.1378646835508865,0.9464870768110665,0,0.9,8.761199015743175,3,22,72.2584742830979
10,UCLA,P12,27-8,115.83624182625931,12,92.24504051045353,20,0.932067020584978,10,27,8,15,5,15-5,0.687788600646211,0.5713780807011138,0.696789122305929,0.687788600646211,0.5713780807011138,0.696789122305929,0.7189499225126456,0.752210716832301,106.90628819872329,98.10749618368212,106.90628819872329,98.10749618368212,113.6911738294055,90.92103651430381,126.00526053653964,102.14492352032794,0.9179042531876481,11,-0.011615345325629911,1471.0,1259.0,1346.85,1.092178045068122,0.9347737312989569,0,0.75,5.0551606612229305,15,198,65.36908602892795
