shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
zach thomas,2017-18,Bucknell,Pat,sr,F,294,231,0.785714286,Bucknell,Bucknell,zathomas,Non-Power
david collins,2018-19,USF,Amer,so,G,292,206,0.705479452,South Florida,South Florida,dacollins,Non-Power
chris silva,2017-18,South Carolina,SEC,jr,F/C,283,213,0.752650177,South Carolina,South Carolina,chsilva,Power
tanner holden,2021-22,Wright State,Horz,jr,G,277,218,0.78700361,Wright St.,Wright State,taholden,Non-Power
jon elmore,2017-18,Marshall,CUSA,jr,G,274,227,0.828467153,Marshall,Marshall,joelmore,Non-Power
justin james,2018-19,Wyoming,MWC,sr,G,270,200,0.740740741,Wyoming,Wyoming,jujames,Non-Power
scotty pippen,2021-22,Vanderbilt,SEC,jr,G,269,198,0.73605948,Vanderbilt,Vanderbilt,scpippen,Power
james palmer,2018-19,Nebraska,B10,sr,G,266,204,0.766917293,Nebraska,Nebraska,japalmer,Power
jeremiah martin,2018-19,Memphis,Amer,sr,G,263,202,0.768060837,Memphis,Memphis,jemartin,Non-Power
trae young,2017-18,Oklahoma,B12,fr,G,263,227,0.863117871,Oklahoma,Oklahoma,tryoung,Power
ja morant,2018-19,Murray State,OVC,so,G,259,213,0.822393822,Murray St.,Murray State,jamorant,Non-Power
colbey ross,2018-19,Pepperdine,WCC,so,G,256,218,0.8515625,Pepperdine,Pepperdine,coross,Non-Power
grant williams,2018-19,Tennessee,SEC,jr,F,256,211,0.82421875,Tennessee,Tennessee,grwilliams,Power
jermaine marrow,2018-19,Hampton,BSth,jr,G,256,207,0.80859375,Hampton,Hampton,jemarrow,Non-Power
nick dixon,2017-18,UT Rio Grande,WAC,sr,G,256,203,0.79296875,UT Rio Grande Valley,UT Rio Grande Valley,nidixon,Non-Power
mason jones,2019-20,Arkansas,SEC,jr,G,254,207,0.81496063,Arkansas,Arkansas,majones,Power
chris clemons,2018-19,Campbell,BSth,sr,G,253,224,0.885375494,Campbell,Campbell,chclemons,Non-Power
jermaine marrow,2019-20,Hampton,BSth,sr,G,251,192,0.764940239,Hampton,Hampton,jemarrow,Non-Power
markus howard,2018-19,Marquette,BE,jr,G,251,224,0.892430279,Marquette,Marquette,mahoward,Power
jordan caroline,2017-18,Nevada,MWC,jr,F,247,176,0.712550607,Nevada,Nevada,jocaroline,Non-Power
joe chealey,2017-18,Charleston,CAA,sr,G,245,210,0.857142857,College of Charleston,Charleston,jochealey,Non-Power
deishuan booker,2018-19,Long Beach State,BW,sr,G,240,217,0.904166667,Long Beach St.,Long Beach State,debooker,Non-Power
markus howard,2019-20,Marquette,BE,sr,G,239,204,0.853556485,Marquette,Marquette,mahoward,Power
filip petrusev,2019-20,Gonzaga,WCC,so,F,238,156,0.655462185,Gonzaga,Gonzaga,fipetrusev,Non-Power
raiquan clark,2017-18,LIU,NEC,jr,G,238,178,0.74789916,LIU Brooklyn,Long Island University,raclark,Non-Power
garrison mathews,2017-18,Lipscomb,ASun,jr,G,237,189,0.797468354,Lipscomb,Lipscomb,gamathews,Non-Power
keenan evans,2017-18,Texas Tech,B12,sr,G,237,193,0.814345992,Texas Tech,Texas Tech,keevans,Power
reid travis,2017-18,Stanford,P12,jr,F,234,158,0.675213675,Stanford,Stanford,retravis,Power
yante maten,2017-18,Georgia,SEC,sr,F/C,233,185,0.793991416,Georgia,Georgia,yamaten,Power
kyle allman,2017-18,CSU Fullerton,BW,jr,G,231,173,0.748917749,Cal St. Fullerton,CS Fullerton,kyallman,Non-Power
larry austin,2018-19,Cent Michigan,MAC,sr,G,231,129,0.558441558,Central Michigan,Central Michigan,laaustin,Non-Power
collin sexton,2017-18,Alabama,SEC,fr,G,230,176,0.765217391,Alabama,Alabama,cosexton,Power
jayden gardner,2018-19,ECU,Amer,fr,F,228,172,0.754385965,East Carolina,East Carolina,jagardner,Non-Power
chris clemons,2017-18,Campbell,BSth,jr,G,227,195,0.859030837,Campbell,Campbell,chclemons,Non-Power
hunter maldonado,2021-22,Wyoming,MWC,sr,G,227,161,0.709251101,Wyoming,Wyoming,humaldonado,Non-Power
jose perez,2021-22,Manhattan,MAAC,sr,G,227,182,0.801762115,Manhattan,Manhattan,joperez,Non-Power
kj riley,2018-19,Evansville,MVC,jr,G,227,164,0.72246696,Evansville,Evansville,kjriley,Non-Power
cameron young,2018-19,Quinnipiac,MAAC,sr,G,226,173,0.765486726,Quinnipiac,Quinnipiac,cayoung,Non-Power
james palmer,2017-18,Nebraska,B10,jr,G,225,168,0.746666667,Nebraska,Nebraska,japalmer,Power
rj barrett,2018-19,Duke,ACC,fr,G,224,149,0.665178571,Duke,Duke,rjbarrett,Power
graham ike,2021-22,Wyoming,MWC,so,F,222,159,0.716216216,Wyoming,Wyoming,grike,Non-Power
zac cuthbertson,2018-19,C. Carolina,SB,sr,F,222,170,0.765765766,Coastal Carolina,Coastal Carolina,zacuthbertson,Non-Power
ej liddell,2021-22,Ohio State,B10,jr,F/C,221,169,0.764705882,Ohio St.,Ohio State,ejliddell,Power
john hugley,2021-22,Pitt,ACC,so,F/C,221,157,0.71040724,Pittsburgh,Pittsburgh,johugley,Power
cameron thomas,2020-21,LSU,SEC,fr,G,220,194,0.881818182,LSU,LSU,cathomas,Power
lamine diane,2018-19,CSU Northridge,BW,fr,F/C,220,120,0.545454545,Cal St. Northridge,CSU Northridge,ladiane,Non-Power
deshon taylor,2017-18,Fresno State,MWC,jr,G,219,180,0.821917808,Fresno St.,Fresno State,detaylor,Non-Power
jalen moore,2020-21,Oakland,Horz,jr,G,219,170,0.776255708,Oakland,Oakland,jamoore,Non-Power
terrell brown,2021-22,Washington,P12,sr,G,219,169,0.771689498,Washington,Washington,tebrown,Power
tookie brown,2017-18,Ga Southern,SB,jr,G,219,168,0.767123288,Georgia Southern,Georgia Southern,tobrown,Non-Power
armando bacot,2021-22,UNC,ACC,jr,F,218,146,0.669724771,North Carolina,North Carolina,arbacot,Power
cameron young,2017-18,Quinnipiac,MAAC,sr,G,218,167,0.766055046,Quinnipiac,Quinnipiac,cayoung,Non-Power
trayce jackson-davis,2021-22,Indiana,B10,so,F,218,147,0.674311927,Indiana,Indiana,trjackson,Power
vernon carey,2019-20,Duke,ACC,fr,F/C,218,146,0.669724771,Duke,Duke,vecarey,Power
justin johnson,2021-22,UT Rio Grande,WAC,jr,G,217,149,0.686635945,UT Rio Grande Valley,UT Rio Grande Valley,jujohnson,Non-Power
kofi cockburn,2020-21,Illinois,B10,so,C,217,120,0.552995392,Illinois,Illinois,kocockburn,Power
benjamin stanley,2019-20,Hampton,BSth,so,F,216,140,0.648148148,Hampton,Hampton,bestanley,Non-Power
carsen edwards,2018-19,Purdue,B10,jr,G,216,181,0.837962963,Purdue,Purdue,caedwards,Power
gavin kensmil,2021-22,SF Austin,WAC,sr,F,216,133,0.615740741,Stephen F. Austin,Stephen F. Austin,gakensmil,Non-Power
joel hernandez,2017-18,LIU,NEC,sr,G,215,142,0.660465116,LIU Brooklyn,Long Island University,johernandez,Non-Power
jordan davis,2018-19,N Colorado,BSky,sr,G,215,174,0.809302326,Northern Colorado,Northern Colorado,jodavis,Non-Power
alpha diallo,2018-19,Providence,BE,jr,F,213,148,0.694835681,Providence,Providence,aldiallo,Power
chris silva,2018-19,South Carolina,SEC,sr,F/C,212,160,0.754716981,South Carolina,South Carolina,chsilva,Power
grant williams,2017-18,Tennessee,SEC,so,F/C,212,162,0.764150943,Tennessee,Tennessee,grwilliams,Power
trayce jackson-davis,2020-21,Indiana,B10,so,F,212,140,0.660377358,Indiana,Indiana,trjackson,Power
anthony cowan,2019-20,Maryland,B10,sr,G,211,172,0.815165877,Maryland,Maryland,ancowan,Power
sandy cohen,2018-19,Green Bay,Horz,sr,G,210,163,0.776190476,Green Bay,Green Bay,sacohen,Non-Power
marvin bagley,2017-18,Duke,ACC,fr,F/C,209,131,0.626794258,Duke,Duke,mabagley,Power
mike daum,2018-19,South Dakota St,Sum,sr,F/C,209,174,0.832535885,South Dakota St.,South Dakota State,midaum,Non-Power
