"Jalen Coleman-Lands",Kansas,B12,39,19.8,113,19.6,60.6,61.75,4.2,6,7.4,18.4,12,16,0.75,21,42,0.5,30,67,0.448,1.3,1.3,14.7,Sr,6-4,55,1.01631,121.436,4.4,2022,40204,"Indianapolis, IN",92.8,0.64996102,8,12,13,30,0.6667,0.4333,0,0,,,101.433,95.711,0.893589,48.5577,4.43688,4.35761,0.0792708,4.88398,8.2051,4.11962,0.764359,0.2821,0.4615,0.7436,0.3333,0.1795,0.1026,3.6923,"Wing G",12.0614
"K.J. Walton",Akron,MAC,4,5.9,90.9,20.3,58.8,59.77,5,9.4,0,28.4,6,10,0.6,10,17,0.588,0,0,0,0,2.5,58.8,Sr,6-3,1,0.545965,93.6789,3.7,2022,41728,"Indianapolis, IN",74.0,1.14279591,6,6,4,11,1.0000,0.3636,0,0,,,101.625,103.628,1.56714,12.4802,-8.38835,-5.40784,-2.98051,-0.195456,19.5000,-1.32212,1.12666,1.1667,2.0000,3.1667,1.3333,1.3333,0.0000,7.3333,"Wing G",0
"Camron Justice","Western Kentucky",CUSA,28,76.5,105.7,23.5,53.5,57,0.5,11.1,18.4,17.7,70,87,0.805,66,135,0.489,73,193,0.378,0.2,2.5,26.5,Sr,6-3,5,2.87978,110.711,2,2022,42129,"Hindman, KY",67.6,1.37144812,49,86,17,49,0.5698,0.3469,0,1,0.0000,,103.757,103.511,2.71755,162.404,0.41177,2.38943,-1.97766,1.25853,32.0000,1.91571,-0.657175,0.1333,3.2333,3.3667,3.2000,1.6000,0.0667,14.7333,"Combo G",11.9529
"Traci Carter",Hartford,AE,22,51.2,91.1,22.4,43.2,46.06,2.2,13.1,18.1,18.7,27,34,0.794,34,112,0.304,39,102,0.382,1.7,3.3,15.9,Sr,6-1,25,0.420273,89.4704,4.5,2022,42956,"Philadelphia, PA",74.8,1.32607975,4,14,27,85,0.2857,0.3176,0,0,,,104.507,109.454,1.85182,128.326,-2.64546,-1.79184,-0.853623,-3.65646,29.9091,-3.23737,-0.419094,0.5455,3.3636,3.9091,2.7727,1.6364,0.4545,9.6364,"Scoring PG",9.25142
"Shaheed Medlock",DePaul,BE,4,0.6,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-5,55,-0.641748,-7.07296,0,2022,44197,"Chicago, IL",,,,,,,,,,,,,103.088,111.793,0.108301,1.46511,-7.87823,-5.35376,-2.52447,-5.97127,2.0000,-4.69826,-1.27302,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,PF/C,0
"Jeriah Horne",Tulsa,Amer,31,84.8,109,23.6,53,57.26,4.2,19.9,10.2,14.6,93,111,0.838,104,224,0.464,66,159,0.415,2.6,2.3,29,Sr,6-7,41,3.77536,117.489,2.1,2022,44216,"Overland Park, KS",65.0,0.77049349,45,80,59,144,0.5625,0.4097,4,6,0.6667,,100.812,99.3908,3.29487,216.159,4.4283,3.04536,1.38295,5.31974,33.9032,4.72719,0.592543,1.1935,5.7097,6.9032,1.5161,1.2903,0.6774,16.0968,"Wing F",8.97373
"Eric Curry",Minnesota,B10,26,59.6,92.2,20.2,41.5,44.99,4.7,19.9,13.8,13.4,35,49,0.714,81,187,0.433,1,12,0.083,2.8,2,24.6,Sr,6-9,1,1.0513,96.4283,3.7,2022,44217,"Memphis, TN",77.4,1.56247964,28,47,53,140,0.5957,0.3786,0,2,0.0000,,101.693,97.2309,2.87519,140.906,0.544036,-1.91202,2.45606,0.382166,27.7308,-1.32332,1.70548,1.1154,4.6538,5.7692,1.9231,0.8846,0.7308,7.6923,PF/C,1.01463
"James Butler",Drexel,CAA,24,45.3,116.6,19.2,54.9,56.64,10.3,30,6.4,9.6,35,56,0.625,69,128,0.539,6,14,0.429,0.8,0.8,39.4,Sr,6-8,51,2.10023,114.065,4.1,2022,44288,"Fairfax Station, VA",,1.31249999,48,71,21,57,0.6761,0.3684,3,3,1.0000,,99.5533,98.7445,2.09925,103.92,-0.215398,0.336684,-0.552082,1.86307,21.3600,1.85983,0.00323661,1.8800,5.3600,7.2400,0.8400,0.2800,0.1600,8.2800,PF/C,1.61413
"Jailyn Ingram",Georgia,SEC,9,19.1,96.7,22.2,53.4,58.18,4,21.7,17.3,26.3,18,20,0.9,30,50,0.6,6,23,0.261,0.9,1.6,27.4,Sr,6-7,0,1.62032,102.551,4.1,2022,44344,"Madison, GA",,0.75998988,21,31,9,19,0.6774,0.4737,1,1,1.0000,,109.771,109.242,1.71504,47.7987,0.0207363,0.319872,-0.299136,0.352241,27.2222,-0.151991,0.504231,0.8889,5.1111,6.0000,2.1111,0.7778,0.2222,10.6667,"Wing F",5.37395
"Quentin Jackson Jr.","Loyola Marymount",WCC,9,3.4,83,12.6,43.8,44.69,0,7.1,0,12.4,1,2,0.5,2,6,0.333,1,2,0.5,0,1.6,25,Sr,6-3,10,-0.135887,76.123,1.1,2022,44346,"Cary, NC",63.6,0.00000000,2,2,0,4,1.0000,0.0000,0,0,,,112.866,108.005,0.284133,5.49281,-8.34736,-4.24327,-4.10409,-5.68853,4.0000,-2.71429,-2.97425,0.1000,0.2000,0.3000,0.0000,0.1000,0.0000,0.8000,"Wing G",3.0852
"Charlie Moore","Miami FL",ACC,37,80.9,106.1,22.7,52.3,54.5,1.2,8.6,26.3,16.7,56,76,0.737,113,223,0.507,59,162,0.364,0.6,3.6,19.7,Sr,5-11,3,3.28933,114.676,3.3,2022,44420,"Chicago, IL",86.0,2.20777484,90,143,23,80,0.6294,0.2875,0,0,,,103.668,98.6181,3.23337,215.314,4.00428,3.62867,0.375609,3.3478,32.4865,2.06808,1.27971,0.3243,2.3243,2.6486,4.5946,2.0000,0.1622,12.4054,"Scoring PG",7.9748
"Ben Shungu",Vermont,AE,33,76.9,116,26.1,60.7,62.34,2.8,15.3,15.6,13.7,72,100,0.72,143,240,0.596,65,156,0.417,0.9,2.5,25.3,Sr,6-2,24,3.86172,121.575,2.4,2022,44546,"South Burlington, VT",,1.25807513,98,146,44,93,0.6712,0.4731,6,7,0.8571,,92.4015,95.4525,3.41001,201.684,5.30539,3.93182,1.37357,6.26528,30.6471,4.75233,1.51295,0.6176,3.9706,4.5882,2.2941,1.2059,0.2353,16.2647,"Wing G",9.433
